=========================== Parameters =====================================
l1 [m]	l2 [m]	l3 [m]	c1 [m]	c2 [m]	c3 [m]	m1 [kg]	m2 [kg]	m3 [kg]
0.1	0.1	0.4858	0.03	0.05	0.34006	0.1564	0.23764	0.1564
============================== Data ========================================
t [s]	th1 [rad]	th2 [rad]	th3 [rad]	th1d [rad/s]	th2d [rad/s]	th3d [rad/s]
0	0	0	0	0	0	0
0.01	-0.00313611035240779	0.00142343504278368	0.00156047620085616	-0.547004021218063	0.218305810361963	0.262737348593081
0.02	-0.0100686580003419	0.00381035372000926	0.00449898835237224	-0.81574619227591	0.244010460478279	0.30424553470841
0.03	-0.0191862436022766	0.00613672313892661	0.00741315169816332	-1.00144949780802	0.217414864855342	0.272863158994213
0.04	-0.0300402228246002	0.00812091728083084	0.00990799925996679	-1.16881976244132	0.179221498031338	0.225479517476586
0.05	-0.0425734026605612	0.00972976099277294	0.011929986846983	-1.33895551844314	0.143288345586481	0.179903140495082
0.06	-0.0568470215033367	0.0110052347408205	0.0135293442273023	-1.51721650091991	0.112733680258067	0.141249533854207
0.07	-0.0729465197546612	0.0120044756621589	0.0147784883264564	-1.70400501269676	0.0879755369838554	0.109750710658407
0.08	-0.0909513183808183	0.0127808772545328	0.0157456291234199	-1.89805136391268	0.0680700542713705	0.084615009060945
0.09	-0.110926762589756	0.0133790741208489	0.0164879866728763	-2.09787474081723	0.0521512755764374	0.0646249414651393
0.1	-0.132923490001599	0.0138347863352404	0.0170513383463421	-2.3020897556489	0.0394513908585075	0.048641455680983
0.11	-0.15697891398384	0.0141760172844409	0.0174714506258586	-2.50942716822362	0.0291584474024036	0.0358339414836222
0.12	-0.183119003327897	0.0144243715031595	0.0177759137710055	-2.7188549243308	0.0207787849828804	0.0254117182175415
0.13	-0.211359883378661	0.0145963652764325	0.0179857313391267	-2.92944239067124	0.0138193049987676	0.0168181847614796
0.14	-0.24170906040976	0.01470444215231	0.018116703133654	-3.14038612223414	0.00794178840722677	0.0095745757578123
0.15	-0.274166329149753	0.014757836583486	0.0181805091178067	-3.35094552553129	0.00284840987461212	0.0033256625562951
0.16	-0.308724388454516	0.0147632418450608	0.0181855892404642	-3.56043259051373	-0.0016897875753986	-0.00221237974002641
0.17	-0.345369231952781	0.0147253478585698	0.0181378391481062	-3.7681939790095	-0.0058387067811278	-0.0072724859296109
0.18	-0.384080364100669	0.0146472787618277	0.0180411597730843	-3.97358367146829	-0.00974496430969274	-0.0120239575057444
0.19	-0.424830877677536	0.0145309343174838	0.0178979067811059	-4.17596323605344	-0.0135093056459975	-0.0166069055093564
0.2	-0.467587437142855	0.0143772778117059	0.0177092474764559	-4.37468405346943	-0.0172198897006379	-0.0211193912786817
0.21	-0.512310189760189	0.0141865599915287	0.0174754631319175	-4.56909911913297	-0.020907237693783	-0.0256593128139151
0.212457972489862	-0.523598775598299	0.0141339929482129	0.0174110551079093	-4.61613884849377	-0.0218472035584662	-0.0267625629552015
0.222457972489862	-0.601208517133404	0.0623927796425021	0.00499120396020439	-9.24866610213628	5.1064198409451	0.766581293091687
0.232457972489862	-0.705609858937642	0.108634140862473	0.0377639916770757	-11.6812285985201	4.42815088005335	5.48940330217109
0.242457972489862	-0.829303964183861	0.156353747971505	0.0980328843716787	-12.5905188282548	4.8191117399466	6.15352185902666
0.252457972489862	-0.952354282420007	0.20183797798465	0.156333724806057	-11.9034411197669	4.20528031377472	5.40430955486296
0.262457972489862	-1.06641875417323	0.239894326582426	0.205281191363263	-10.9035752471698	3.40494365172168	4.38033363506092
0.272457972489862	-1.17067703420784	0.270146077406558	0.244188934842594	-9.97163737706308	2.66455296752851	3.42161468665925
0.282457972489862	-1.26636743702138	0.293545249037992	0.274236645102457	-9.19395828164254	2.03602701325259	2.61359416610379
0.287175683906938	-1.30899693899575	0.302545416276973	0.285775805352709	-8.88394244772339	1.78383201202772	2.28373218632586
0.297175683906938	-1.36855305024754	0.268833436039688	0.326239065903744	-4.61476942747333	-4.03608772008058	2.55009815513144
0.307175683906938	-1.40489026823913	0.23240256016372	0.32909816315046	-2.62773026780028	-3.2761683070637	-1.97263349432597
0.317175683906938	-1.42027506734358	0.200380303084356	0.289494520872249	-0.504910802103723	-3.59539493117834	-5.22494204377708
0.327175683906938	-1.42230826225924	0.162320671110105	0.234696966077596	-0.207480639232815	-3.82131657081563	-5.47264677892471
0.337175683906938	-1.42815025280748	0.126321447492107	0.183237523199586	-1.05817420328677	-3.31387512731485	-4.73999710897465
0.347175683906938	-1.44424964606525	0.0964913286523588	0.14061774325054	-2.16451014133384	-2.64687704202575	-3.78633067908787
0.357175683906938	-1.4710675841283	0.0731474113041373	0.1071957064156	-3.16935840868095	-2.03965559830168	-2.92432796011539
0.367175683906938	-1.50696894119322	0.0552961534649769	0.081553630481497	-3.9769755359764	-1.55081747096981	-2.23325522331647
0.377175683906938	-1.54995934698386	0.0417342415556629	0.061998137702529	-4.59162370816647	-1.17877781456751	-1.70264082472036
0.387175683906938	-1.59827079457268	0.0314143061263363	0.0470608007096148	-5.04681200960203	-0.899348889320581	-1.30358249384558
0.397175683906938	-1.65047799559784	0.0235154502966013	0.0355888418475582	-5.37601407148068	-0.691028511472418	-1.00498609526122
