=========================== Parameters =====================================
l1 [m]	l2 [m]	l3 [m]	c1 [m]	c2 [m]	c3 [m]	m1 [kg]	m2 [kg]	m3 [kg]
0.1	0.14	0.4458	0.3	0.7	0.7	0.1564	0.23764	0.1564
============================== Data ========================================
t [s]	th1 [rad]	th2 [rad]	th3 [rad]	th1d [rad/s]	th2d [rad/s]	th3d [rad/s]
0	0	0	0	0	0	0
0.01	-0.00148559341788093	0.000983808357660623	0.000123706508599274	-0.283818022913563	0.180382218239045	0.0262743886285744
0.02	-0.00544964835266808	0.00333026156837764	0.000547170666189614	-0.499463354976081	0.277344793662676	0.059093938932363
0.03	-0.0113155489794993	0.00633931150223155	0.00131214811896535	-0.667162758432505	0.316693262830289	0.0939210143888186
0.04	-0.0186857812689495	0.00953914066919318	0.00242089271029268	-0.802592859211126	0.318375104020871	0.127372456720517
0.05	-0.0272992942382961	0.0126312631838941	0.00384700142336813	-0.91747928567483	0.297249968316906	0.157073548100621
0.06	-0.0369953515294797	0.0154439625498854	0.00554468667853537	-1.02027327733004	0.263958363104354	0.181494518400465
0.07	-0.0476841558651361	0.0178944254495243	0.0074564079173404	-1.11681863671256	0.225778190558542	0.199788280025666
0.08	-0.0593238727672849	0.0199590983534404	0.00951893511670293	-1.21095861149573	0.187405120315562	0.211640417321938
0.09	-0.0719033097864287	0.0216513231665506	0.0116679990425077	-1.30505757249134	0.15162477154261	0.21713715189225
0.1	-0.0854293478731389	0.0230051040151497	0.0138417209367686	-1.4004295023319	0.119866396338906	0.216653387983211
0.11	-0.0999182004529038	0.0240638287437896	0.0159830228805355	-1.49767615847721	0.0926415196765657	0.210760631006078
0.12	-0.115389638586234	0.0248728467165121	0.0180412105918073	-1.59694395821503	0.0698788601725636	0.20015322413631
0.13	-0.131863427856237	0.0254749392174172	0.0199729010413064	-1.69811154615463	0.0511705851964616	0.185590674451326
0.14	-0.149357347401823	0.0259078760192149	0.0217424435619342	-1.80092075601523	0.0359459424556785	0.167853614745503
0.15	-0.167886286572542	0.026203409662852	0.0233219586838044	-1.90506310109124	0.0235876102976843	0.147711001344509
0.16	-0.187462029886041	0.0263872047691141	0.0246910959031184	-2.01023261654826	0.0135044732724565	0.125896361493275
0.17	-0.208093441150863	0.0264793266725913	0.0258365911394501	-2.11615423776585	0.00517247266691432	0.103091193453508
0.18	-0.229786840917989	0.0264950194198423	0.0267516872229867	-2.22259519593664	-0.00184696151835546	0.0799139338756162
0.19	-0.252546438075934	0.0264455879525892	0.0274354664164238	-2.32936530503262	-0.00790341673569892	0.0569132065886044
