=========================== Parameters =====================================
l1 [m]	l2 [m]	l3 [m]	c1 [m]	c2 [m]	c3 [m]	m1 [kg]	m2 [kg]	m3 [kg]
0.18	0.1	0.4058	0.9	0.9	0.5	0.1564	0.23764	0.1564
============================== Data ========================================
t [s]	th1 [rad]	th2 [rad]	th3 [rad]	th1d [rad/s]	th2d [rad/s]	th3d [rad/s]
0	0	0	0	0	0	0
0.01	-0.000545439803504099	0.000105221616530423	-0.000211038482731116	-0.108940336956981	0.0205368590350397	-0.0409173424385285
0.02	-0.00217578688475927	0.000400472893466741	-0.000792515454337993	-0.216975523546885	0.0379974767343957	-0.0740935609797659
0.03	-0.00488185110393212	0.000854885569057974	-0.00166759526770014	-0.324081679579702	0.0523751018045797	-0.0996825763962042
0.04	-0.00865431366484995	0.00143793441669212	-0.0027620763592426	-0.430256397022536	0.0637427798308879	-0.118050059710551
0.05	-0.0134839245925369	0.00212016419217454	-0.00400628825406098	-0.535515268647951	0.0722391102751619	-0.12972932028175
0.06	-0.0193616654399508	0.00287377549084006	-0.00533655434297258	-0.63988843896347	0.0780544076629082	-0.13537896946722
0.07	-0.0262788779708507	0.00367307566550664	-0.00669624437676169	-0.743417261022402	0.0814176023485983	-0.135743345705599
0.08	-0.0342273602238421	0.00449480356870079	-0.00803644825991494	-0.846151125469656	0.082584141949991	-0.131616456056276
0.09	-0.043199431941055	0.00531833912875988	-0.0093163091479434	-0.948144511337146	0.0818250824899006	-0.123809966533217
0.1	-0.0531879717614386	0.00612581032418456	-0.0105030581431922	-1.04945429265028	0.0794174922687385	-0.113125570593994
0.11	-0.0641864288492847	0.00690211105003348	-0.0115717952550962	-1.15013732122624	0.0756362325784219	-0.100331884528701
0.12	-0.0761888117721734	0.00763484374883934	-0.0125050619748479	-1.25024829433739	0.0707471282114783	-0.0861458618980171
0.13	-0.0891896574791943	0.00831420058576425	-0.0132922500560772	-1.3498379062349	0.0650014976066108	-0.0712185873432645
0.14	-0.103183983180138	0.00893279646406162	-0.0139288891403706	-1.44895127482642	0.0586319773797319	-0.0561252029627672
0.15	-0.11816722380856	0.00948546638136806	-0.0144158529629207	-1.54762662895006	0.0518495486381538	-0.0413586372423285
0.16	-0.134135157583843	0.00996903859507269	-0.0147585202521721	-1.64589423751257	0.0448416523873307	-0.0273267458901545
0.17	-0.151083821985449	0.010382093865622	-0.0149659223150297	-1.74377555906049	0.0377712678920819	-0.0143524340597165
0.18	-0.16900942223008	0.0107247197429979	-0.0150499048733681	-1.84128258892313	0.0307768203303968	-0.00267630823054891
0.19	-0.187908234111262	0.0109982675091711	-0.0150243271632641	-1.93841738069746	0.0239727817084004	0.00753859886323073
0.2	-0.207776502830362	0.0112051180357003	-0.0149043167768618	-2.03517171934597	0.0174508310037721	0.0162004778346422
0.21	-0.228610339226275	0.0113484615005987	-0.0147055943449875	-2.13152692437046	0.0112814450971056	0.0232811938438077
0.22	-0.250405614603842	0.0114320946643261	-0.0144438780293879	-2.2274537632502	0.00551580049384573	0.0288079368532936
0.23	-0.27315785517329	0.0114602382562601	-0.0141343739963466	-2.32291245745293	0.000187876438084055	0.0328544319450788
0.24	-0.296862136947856	0.0114373759885791	-0.013791355636208	-2.41785276571867	-0.00468333786505331	0.0355320295142615
0.25	-0.321512981806415	0.0113681158063741	-0.0134278313136897	-2.51221413187284	-0.00909161614556275	0.036980951128002
0.26	-0.347104255313636	0.0112570732078045	-0.0130552979015447	-2.60592588704949	-0.0130413188242713	0.0373619216625186
0.27	-0.373629066802045	0.0111087758282397	-0.0126835752691567	-2.69890749881218	-0.016545324897327	0.036848373460261
0.28	-0.401079672157937	0.0109275879755012	-0.0123207152586904	-2.79106886216836	-0.0196231161398096	0.0356193649000045
0.29	-0.429447379714863	0.010717653423976	-0.0119729774641579	-2.88231062981083	-0.0222990454469013	0.0338533149254226
0.3	-0.458722459642521	0.0104828545151442	-0.0116448633042338	-2.97252458102111	-0.0246008097180209	0.0317226174870633
0.31	-0.48889405722248	0.0102267854603405	-0.0113391994123982	-3.06159403047402	-0.0265581374274651	0.0293891660608632
0.32	-0.519950110422199	0.00995273768612428	-0.0110572612181307	-3.14939427964208	-0.0282016920504611	0.0270007887623164
0.321156679792872	-0.523598775598301	0.00992001795223449	-0.0110261883068102	-3.15946211981523	-0.0283729547411599	0.0267271326041561
0.331156679792872	-0.556173101955597	0.0102887674380554	-0.00962182774232445	-3.35508227260269	0.102030677698593	0.254240868298724
0.341156679792872	-0.590693365428469	0.0119582265357706	-0.00594013086833554	-3.54858480645276	0.231711474795719	0.482123961321974
0.351156679792872	-0.627136400181474	0.0149193732770898	2.03475315087957e-05	-3.73956698179343	0.360303735050674	0.709913091674709
0.361156679792872	-0.665474866426334	0.0191593153471101	0.00825600586471461	-3.92759655024658	0.487398735710994	0.937061876303771
0.371156679792872	-0.705676950663737	0.024660851171992	0.0187573580660029	-4.11221094561363	0.612543186517815	1.16293977583818
0.381156679792872	-0.74770606178837	0.0314020216166955	0.0315081947515996	-4.29291729250022	0.735238933953059	1.38683300801001
0.391156679792872	-0.791520532173797	0.0393556660564441	0.0464847653403612	-4.46919342748819	0.854944175961887	1.60794790130378
0.401156679792872	-0.837073334889447	0.0484889992506192	0.0636550077470933	-4.64049013883777	0.971076450908023	1.825417127311
0.411156679792872	-0.88431183024828	0.0587632280125166	0.0829778565006371	-4.80623482453426	1.08301764549429	2.03830921498538
0.421156679792872	-0.933177556753001	0.0701332288963105	0.104402663780145	-4.96583673815033	1.19012121679964	2.24564166204631
0.431156679792872	-0.983606067131767	0.0825474227958302	0.127868092111537	-5.11869653240347	1.291703127928	2.44650947084747
0.441156679792872	-1.03552666276455	0.0959490487427462	0.153293454134156	-5.26400290575095	1.38857919058231	2.63096693198489
0.451156679792872	-1.08885283896181	0.110346602125237	0.18015814063735	-5.39949793262068	1.49253456416774	2.72387699220775
0.461156679792872	-1.14348190348001	0.125827018455506	0.20743265736176	-5.52457996556241	1.60466880637204	2.71533042307284
0.471156679792872	-1.19930980542625	0.14245741789738	0.23417617942353	-5.63927315696621	1.7220330887819	2.62023527505147
0.481156679792872	-1.25623291880896	0.160275113314689	0.259600689273558	-5.74363179198872	1.84162794095466	2.45414052933229
0.490273702792579	-1.30899693899576	0.177560769148052	0.281093606791728	-5.82953536025708	1.94960504704497	2.25420013090867
0.500273702792579	-1.36677070534782	0.196208792385587	0.301739568463696	-5.7236813468705	1.77874562537466	1.8742398279573
0.510273702792579	-1.42343986831915	0.213111336411088	0.318565656171633	-5.60861823420603	1.60058271960523	1.49045360012369
0.520273702792579	-1.47891246135352	0.228197581016689	0.331540370035966	-5.48437329036254	1.41556050285299	1.1041845186696
0.530273702792579	-1.53309689157088	0.241401201727575	0.340645380624255	-5.35099694733791	1.22413561855526	0.716724072557939
0.540273702792579	-1.58590226035784	0.252660544780265	0.345875031146454	-5.20858056859072	1.02678723654968	0.329316124079124
0.550273702792579	-1.63723885990578	0.261918902008429	0.347235887988597	-5.05727377396921	0.824026919143739	-0.0568375504565019
0.560273702792579	-1.68701883870766	0.269124882376081	0.344746350609896	-4.89730084224372	0.616408064584135	-0.440571068775729
0.570273702792579	-1.73515702509935	0.274232875613459	0.338436323414757	-4.72897587461139	0.404534888983806	-0.820748350068361
0.580273702792579	-1.78157189528398	0.277203603605276	0.328346945566803	-4.55271649394032	0.189071008406831	-1.19625770279349
0.590273702792579	-1.82618667017602	0.278004755897479	0.314530369670813	-4.36905587282529	-0.0292523132187369	-1.56600752397464
0.59174526648539	-1.83259571459405	0.277937933181849	0.312186242406821	-4.34144244771293	-0.0615736284738034	-1.61986731623876
0.601745266485391	-1.87505869196745	0.276220415100698	0.294172198527343	-4.15011081022413	-0.28217863031384	-1.98168783883557
0.611745266485391	-1.91557850885462	0.272290935114472	0.272579309843573	-3.95295724308491	-0.503808258406389	-2.3354616267027
0.621745266485391	-1.95410158599774	0.266144132390408	0.247493254589912	-3.75093311578733	-0.725469981182246	-2.68014948412442
0.631745266485391	-1.99058455833026	0.25778504109701	0.219010006970211	-3.54512971568143	-0.946076794823844	-3.0147321311689
0.641745266485391	-2.02499566088354	0.247230045868162	0.187235612345371	-3.3367747758912	-1.1644456449399	-3.33821578265144
0.65174526648539	-2.0573160537275	0.234507833777081	0.152285891846218	-3.12722358300213	-1.37929993006692	-3.64964080624722
0.66174526648539	-2.08754102662697	0.219660294903885	0.114286041966929	-2.91794364597848	-1.5892775260266	-3.94809420616717
