=========================== Parameters =====================================
l1 [m]	l2 [m]	l3 [m]	c1 [m]	c2 [m]	c3 [m]	m1 [kg]	m2 [kg]	m3 [kg]
0.14	0.1	0.4458	0.3	0.3	0.9	0.1564	0.23764	0.1564
============================== Data ========================================
t [s]	th1 [rad]	th2 [rad]	th3 [rad]	th1d [rad/s]	th2d [rad/s]	th3d [rad/s]
0	0	0	0	0	0	0
0.01	-0.00152984220464822	0.000624068579886202	0.000694144596459216	-0.298405137307029	0.115388193892577	0.138753668734137
0.02	-0.0058425691069834	0.00217554756705284	0.00274225788329826	-0.558752274294619	0.190235486161508	0.268153958173254
0.03	-0.0126073264583722	0.00435704675990857	0.00599129181165876	-0.789671264096938	0.243192229944596	0.377997110450962
0.04	-0.0215500950259176	0.00699032696532037	0.0102257781052216	-0.994765919857733	0.281284565843397	0.465013365054248
0.05	-0.032423365032302	0.00994272085684916	0.0152141583823928	-1.17606337892076	0.307318647368495	0.528857069135002
0.06	-0.0449977124116125	0.0131011499174114	0.0207289056268031	-1.33526809041848	0.322672503803732	0.570520467628476
0.07	-0.059061063913068	0.0163638561966664	0.0265561539737566	-1.4741801496794	0.32832994487741	0.591672828185687
0.08	-0.0744203009547375	0.0196385748846192	0.0325007836053531	-1.59479368594087	0.325237082467975	0.594359042833502
0.09	-0.090903159159895	0.0228427880369825	0.0383892977949939	-1.69927759995246	0.31440356013214	0.580837986216456
0.1	-0.108359697828872	0.0259044399054356	0.0440714094210749	-1.789916643173	0.296909688463778	0.553477938645155
0.11	-0.126663119709706	0.0287625334872422	0.0494207271077921	-1.86904348658804	0.273881738744164	0.514678093920462
0.12	-0.145709920735374	0.0313674285465494	0.0543347358387054	-1.93897385296763	0.246459297174258	0.466804881977609
0.13	-0.165419427307178	0.0336808140081316	0.0587341969979777	-2.00194933200438	0.215763640278399	0.412139165834129
0.14	-0.185732807162828	0.0356753834008499	0.0625620685285139	-2.06008939072645	0.182870236153437	0.352832928214459
0.15	-0.20661164729598	0.0373342598051515	0.0657820366655356	-2.11535273466951	0.148786182050643	0.290874812076842
0.16	-0.228036190490406	0.0386502197614232	0.0683767451637055	-2.1695075650195	0.114432513110329	0.228063985550145
0.17	-0.250003315968133	0.0396247631426383	0.0703458022996443	-2.22411001356796	0.0806310156429939	0.165991721633774
0.18	-0.272524341924084	0.0402670718639865	0.0717036393406106	-2.28048994896132	0.0480951086121446	0.106029988269014
0.19	-0.295622719614039	0.0405928959849012	0.0724772868138267	-2.33974335009093	0.0174243739145202	0.0493262900234811
0.2	-0.319331680826644	0.0406234017603996	0.0727041272514077	-2.4027304878967	-0.0108976439692331	-0.00319600460807136
0.21	-0.343691893276573	0.0403840125917886	0.0724296755444428	-2.47007921615478	-0.0365027128039728	-0.0508325879967554
0.22	-0.368749171748031	0.0399032705082644	0.0717054308912807	-2.54219272753079	-0.0591345843767427	-0.0930890803414227
0.23	-0.39455228660907	0.0392117426299907	0.0705868376882705	-2.61926117442524	-0.0786433791949488	-0.129668476223728
0.24	-0.421150905465994	0.0383409938876024	0.0691313865827595	-2.7012765823908	-0.0949780046724501	-0.160455760383879
0.25	-0.448593698089824	0.0373226440188875	0.0673968812109711	-2.78805049899997	-0.108176937531802	-0.185500244318785
0.26	-0.476926629212283	0.0361875235028453	0.0654398907733947	-2.87923382735066	-0.118357711419059	-0.204996147712227
0.27	-0.50619145829548	0.0349649396463821	0.0633144034628998	-2.97433829623234	-0.125705456728315	-0.219261929222197
0.275797415790284	-0.523598775598299	0.0342269079434702	0.0620249894532627	-3.03103582969724	-0.128760811923977	-0.225299662019382
0.285797415790284	-0.558980710483936	0.0387144465849968	0.0596531778875821	-4.04381997321772	1.02456627094519	-0.249025428071962
0.295797415790284	-0.604428691771576	0.0546580101640232	0.0570529125511881	-5.04259309262191	2.15967228597817	-0.270150449925117
0.305797415790284	-0.659749329809864	0.0817836224208835	0.0542793493052769	-6.01630254981765	3.25728945397544	-0.282427127550234
0.315797415790284	-0.724593286215457	0.119532588013958	0.0514918823512458	-6.91852458446756	4.22923297866037	-0.248357869473144
0.325797415790284	-0.796233404905354	0.162787046582398	0.0508937707651112	-7.32642356700774	4.26454758206539	0.197743533056756
0.335797415790284	-0.870087260883267	0.202895779928072	0.0562718010418039	-7.41545110054067	3.70524946425334	0.898652230218797
0.345797415790284	-0.944243607371613	0.236401668173886	0.0690261565498667	-7.41025843327	2.99004633662396	1.65132496890688
0.355797415790284	-1.0182904649221	0.262800672713568	0.0891714136955115	-7.4023920264623	2.30199429861124	2.36776685979378
0.365797415790284	-1.09238993216688	0.282759658630935	0.116140879162889	-7.42316466652989	1.70759481741319	3.01284677237088
0.375797415790284	-1.16687473648925	0.297342667470124	0.149130405755121	-7.48275373043965	1.24217151572101	3.55705008614444
0.385797415790284	-1.24229423532591	0.308826801792381	0.186103716554936	-7.60373167630248	1.09920918685266	3.78427501777032
0.39451890959189	-1.30899693899577	0.318385157841609	0.219191890160526	-7.68415257963303	1.10126094172037	3.77935982971033
0.40451890959189	-1.38088415482061	0.321412812980338	0.258654277934107	-6.68753414940106	-0.496578495541354	4.10855873454464
0.41451890959189	-1.44264398648371	0.308457083639265	0.301262626943023	-5.65986912072231	-2.09339907659556	4.40766234630592
0.42451890959189	-1.49400077021424	0.279581009151041	0.346694107352223	-4.61523739766686	-3.66528097025875	4.66608033993632
0.43451890959189	-1.53649360809107	0.238318911853789	0.39300360653052	-4.00185505072747	-4.35027902384287	4.48075215939592
0.44451890959189	-1.57565416635963	0.195818973969663	0.434731810937375	-3.87846791051439	-4.05178056488008	3.8170299817125
0.45451890959189	-1.61461007691395	0.1584262756974	0.468777288004608	-3.92433255103019	-3.40020698554732	2.97825055262345
0.46451890959189	-1.6541723160021	0.127958441145316	0.494202524906305	-3.98282682413278	-2.69933123306253	2.10820840429545
