=========================== Parameters =====================================
l1 [m]	l2 [m]	l3 [m]	c1 [m]	c2 [m]	c3 [m]	m1 [kg]	m2 [kg]	m3 [kg]
0.22	0.22	0.2458	0.11	0.088	0.07374	0.1564	0.23764	0.1564
============================== Data ========================================
t [s]	th1 [rad]	th2 [rad]	th3 [rad]	th1d [rad/s]	th2d [rad/s]	th3d [rad/s]
0	0	0	0	0	0	0
0.01	-0.00190863091567209	0.0013604773285167	0.000441301504277639	-0.346633235740147	0.198718354924765	0.0797740092190758
0.02	-0.00663499611948891	0.00339941233436808	0.00129878185174299	-0.592771784126752	0.197876638060226	0.0852018240200201
0.03	-0.0137148125821874	0.00522436612997681	0.0020893504062333	-0.822546138133051	0.165915112391183	0.0720615921748105
0.04	-0.0230862365888235	0.00671898737622392	0.00273788597882341	-1.05208033958204	0.133696560542809	0.0579103037567666
0.05	-0.0347650323296299	0.00791557468361172	0.00325476073801411	-1.28412548475958	0.106515597830655	0.0458760255603691
0.06	-0.0487771784780844	0.00886642947677652	0.00366306099822105	-1.51868572225584	0.0844427985480286	0.0361441033765391
0.07	-0.0651454925080025	0.00961868304279137	0.00398415726258935	-1.75526813639927	0.0666427005889955	0.0283741292975946
0.08	-0.0838875412772712	0.0102107933829262	0.00423557557982891	-1.99334841545013	0.0522881407918538	0.022137514204199
0.09	-0.105015759701523	0.0106733839639942	0.00443114438676868	-2.23242382019498	0.0406342824370953	0.0171479648390196
0.1	-0.12853780355584	0.0110305488833581	0.00458174139258939	-2.47203645595454	0.0311080126982219	0.0131171232073879
0.11	-0.154456828939626	0.0113011356929331	0.00469582510965529	-2.7117469736773	0.0232475501079197	0.00981531124150461
0.12	-0.182771612413617	0.0114997866315581	0.00477989957236877	-2.95111547050092	0.0166668678132731	0.00708569053550825
0.13	-0.213476520642974	0.0116377458612798	0.00483894115093904	-3.18969652990072	0.0110649637282372	0.00478659940286782
0.14	-0.246561371075751	0.011723535528515	0.00487668871541738	-3.42702448333972	0.00619754625839091	0.00280891923704186
0.15	-0.282011191881362	0.0117634885885678	0.00489589499096578	-3.66260559689336	0.00186847986783251	0.00106531640939393
0.16	-0.319805904957984	0.0117621806849212	0.00489852676079739	-3.89591164452117	-0.00207791931413946	-0.000516417336783968
0.17	-0.359919950488058	0.0117227853216988	0.00488592095996133	-4.12637396338944	-0.00576686828081416	-0.00199153370638751
0.18	-0.402321867877162	0.0116473632473338	0.00485891683346372	-4.35338033303569	-0.00929748862757275	-0.0034029698669951
0.19	-0.446973850225848	0.0115371031927145	0.00481796470834092	-4.57627338660248	-0.0127462116412816	-0.00478493778383935
0.2	-0.493831288641507	0.0113925257383444	0.00476321506295109	-4.7943502100334	-0.016170640346312	-0.0061635753290106
0.206125036065294	-0.523598775598307	0.0112870492325832	0.00472284714373641	-4.92522601445499	-0.0182714542587206	-0.00702035268070305
0.216125036065294	-0.580268623110676	0.0156288434680839	0.0477261569146003	-6.7346255140928	2.17705210089139	5.81036342157875
0.226125036065294	-0.659427941720593	0.0613043894259232	0.101869164651166	-8.71060227062192	6.05047464890274	5.39126760494116
0.236125036065294	-0.747298349805447	0.121573263160802	0.153887905884355	-8.71794791495698	5.72158871667286	4.86372290627151
0.246125036065294	-0.832665123034211	0.173541671103517	0.198127453906879	-8.34615365992619	4.6538961497974	3.98077687233331
0.256125036065294	-0.914344630905891	0.214892899110883	0.233803797283955	-8.00266237248715	3.64203080433373	3.17855461938726
0.266125036065294	-0.993010016576581	0.246993035244086	0.262136011911314	-7.74411773595921	2.80683791922014	2.51231560458719
0.276125036065294	-1.06948026009677	0.271586056936555	0.284476520879297	-7.56120072718632	2.13749502142161	1.97506716973476
0.286125036065294	-1.14442915558622	0.290204959425232	0.301998625048961	-7.43691521615539	1.606905228714	1.54616767362996
0.296125036065294	-1.21836615649148	0.304112949777504	0.315672881178645	-7.35653418832782	1.1914766992194	1.20227925413168
0.306125036065294	-1.291662222683	0.314339527822382	0.326283835424538	-7.30692488573957	0.867601634638097	0.930523555880051
0.308498786936274	-1.30899693899575	0.316320838620676	0.328425569563469	-7.29854735131161	0.802256232003593	0.874831311078054
0.318498786936274	-1.37598167343777	0.318951499856057	0.294667283922759	-5.78467739882087	-1.43224855583712	-5.0770432764674
0.328498786936274	-1.4227657504863	0.280061608095595	0.246854357033963	-3.90503715612524	-5.53024873501545	-4.87017315025314
0.338498786936274	-1.46092690170348	0.222891251312836	0.198905648084631	-3.90260050292341	-5.5626928971742	-4.55230669506001
0.348498786936274	-1.50249022400926	0.172005509848577	0.157347275656648	-4.43617958254501	-4.56618687769776	-3.73990570543657
0.358498786936274	-1.54966197193088	0.131586252412037	0.123922428956513	-4.98387676464293	-3.54503435072567	-2.96355214978926
0.368498786936274	-1.60180303590895	0.100444778161151	0.0975767663408846	-5.42459329605279	-2.71846781930184	-2.3295318422683
0.378498786936274	-1.65777964366769	0.0765710672748376	0.0768731810376272	-5.75386418252905	-2.08381949023292	-1.83438126800006
0.388498786936274	-1.71655986719461	0.058233564638158	0.0605693219119418	-5.98854722611603	-1.60431817137227	-1.44512974972518
0.398498786936274	-1.77729578485909	0.0440942918837506	0.0476975806902478	-6.14737088632692	-1.23980469575339	-1.14232242788069
0.407424278051958	-1.83259571459405	0.034194474054124	0.0384916657070242	-6.23663002390553	-0.988601252786078	-0.928410646755832
0.417424278051958	-1.88826556097864	0.0192131219113484	-0.0111574848652748	-4.55516829845251	-3.34752928459857	-6.09982495060194
0.427424278051958	-1.92409014321373	-0.0349553581357772	-0.0689508749419497	-3.08750763035978	-6.40352755485075	-5.74857596405325
0.437424278051958	-1.95595246958802	-0.0967946071661058	-0.123240786776224	-3.39137002119695	-5.75838553954982	-5.00723693706699
0.447424278051958	-1.99259478033703	-0.148754349718489	-0.168536773893724	-3.9336960102875	-4.63487361365236	-4.06299462509238
0.457424278051958	-2.03431277339745	-0.189971709278608	-0.204956899203842	-4.38903619108833	-3.64200184335904	-3.24809097604368
0.467424278051958	-2.07995038476936	-0.222274446862682	-0.234025529872175	-4.71830912809232	-2.85013473139043	-2.59155200702702
0.477424278051958	-2.12830105710225	-0.247568598556882	-0.25722292870497	-4.93481055282372	-2.2346946931098	-2.06859385548674
0.487424278051958	-2.17833868575044	-0.267431935286285	-0.275765509825808	-5.05879136865995	-1.758731958117	-1.65584112060355
0.497424278051958	-2.22922707882002	-0.283108385594198	-0.290627723301585	-5.10767987588253	-1.39267945486748	-1.32932934702311
0.507424278051958	-2.28029146170795	-0.295568779311867	-0.302581143201009	-5.09613771552437	-1.11209521569751	-1.07105331219187
0.517424278051958	-2.33098962181113	-0.305566317321088	-0.312235323324066	-5.0362781059852	-0.89707011958654	-0.867691481549039
0.527424278051958	-2.38088751314566	-0.313680742468181	-0.320073657922164	-4.93755313913452	-0.733150272393452	-0.706333740599682
0.537424278051958	-2.42963790507177	-0.320357586963838	-0.326475139402816	-4.80797705150659	-0.607681316278953	-0.579197420101533
0.547424278051958	-2.47696410798634	-0.325935288008623	-0.331739941052858	-4.65363290215438	-0.512016586680633	-0.477824847805221
0.557424278051958	-2.52264545738327	-0.330671057418171	-0.336102114553034	-4.47971369924218	-0.438382851079804	-0.397571062305619
0.567424278051958	-2.56650657772799	-0.334757928127888	-0.339746358003801	-4.29016867569838	-0.381486265227645	-0.333473859238448
0.577424278051958	-2.60840803819701	-0.338340578134207	-0.342816903212033	-4.08823988644984	-0.336991124969435	-0.282187702111675
0.579783162605635	-2.61799387799149	-0.339124668075515	-0.343470114620631	-4.03914646349309	-0.327749543308931	-0.271993308272644
0.589783162605635	-2.6610638460975	-0.342267766369217	-0.304855932793302	-4.88608361580892	0.911562178699969	5.29615829638168
0.599783162605635	-2.71788264420389	-0.312241026244357	-0.256830646799322	-6.41828637704551	4.9386557882556	4.4739200572907
0.609783162605635	-2.78319038764653	-0.25770534740656	-0.211354514414642	-6.41816100150924	5.5216478540409	4.43042036172521
0.619783162605635	-2.84402091249345	-0.206196568152971	-0.170346673268053	-5.70605723147859	4.69529055342807	3.7363005359022
0.629783162605635	-2.89712921484791	-0.164206151317096	-0.136724575512738	-4.92456518326745	3.71775625380386	3.00180218728083
0.639783162605635	-2.94281356489663	-0.131300193830706	-0.109913884612299	-4.22943508917829	2.89463254840004	2.38273486060654
0.649783162605635	-2.98204920758583	-0.105702729296774	-0.08865674389893	-3.63261283940039	2.25208072633927	1.88909581435382
0.659783162605635	-3.01573436277685	-0.0857614379767742	-0.0717927048585601	-3.11603707222168	1.75749295340335	1.49951697855133
0.669783162605635	-3.04457337099725	-0.07017894262391	-0.0583902820264783	-2.66066393597414	1.37544417179679	1.19278988661767
0.679783162605635	-3.06910203031302	-0.0579694847199768	-0.0477204426682919	-2.25187037215927	1.0790178053835	0.95031035042957
0.689783162605635	-3.08972890290229	-0.0483825575740481	-0.0392142035302991	-1.87874716737944	0.848054811828994	0.758035857369151
0.699783162605635	-3.10676806474938	-0.0408423297350706	-0.0324256057140764	-1.53309351040178	0.667294157740531	0.605608708559125
0.709783162605635	-3.12046255632171	-0.0349045114810885	-0.0270023617395237	-1.20889953730195	0.525849413531971	0.48389198039039
0.719783162605635	-3.13100170443908	-0.0302237435654134	-0.0226664970148886	-0.901454674077834	0.415015277286092	0.386485910616024
0.729783162605635	-3.13853364980875	-0.026530235826324	-0.0191985563609121	-0.606934849873922	0.327444935480245	0.309522734242556
0.739783162605635	-3.14317423373971	-0.0236139184721601	-0.0164225797855541	-0.322705293836199	0.258602472530485	0.247893640204834
0.749783162605635	-3.14501455115846	-0.0213096546006532	-0.0141994134607797	-0.0465399809198325	0.204382334919222	0.198607672447957
0.759783162605635	-3.14412621686911	-0.0194877631410236	-0.0124181502935404	0.223291895631884	0.161620892883841	0.159228723860687
0.769783162605635	-3.14056558624156	-0.0180462783236995	-0.0109901875046991	0.488114693601249	0.127949943055014	0.127640158065992
0.779783162605635	-3.13437713827208	-0.0169047201088365	-0.0098449499386368	0.748997439950238	0.101395034086026	0.102378572406709
0.789783162605635	-3.12559606907145	-0.015999567850381	-0.0089259343444081	1.00675176525936	0.0804683698857543	0.0821751350802726
0.799783162605635	-3.11425044178231	-0.0152805168464474	-0.00818795472204971	1.26200671313995	0.0639751575798401	0.0660718549973415
0.809783162605635	-3.1003628896108	-0.0147077298037623	-0.00759463609369666	1.51520010689603	0.0510886145534169	0.0531106579603491
0.819783162605635	-3.08395212622418	-0.0142493641060807	-0.00711699257701093	1.76668816770115	0.0410062547627851	0.0428052857142245
0.829114191867146	-3.06637762430674	-0.0139024022197984	-0.00675487111156475	2.00000000000018	0.0336577187347202	0.0350861679112858
0.839114191867146	-3.04513297406512	-0.0135976687978138	-0.00643838259376203	2.2487049357654	0.0275674789333745	0.0284669445754809
0.849114191867146	-3.02140800374503	-0.0133460545315995	-0.00618087084436679	2.49606197296897	0.0229850438142092	0.0232379814868796
0.859114191867146	-2.99521636268418	-0.0131339164824761	-0.00596975844859333	2.74202368028434	0.0196348606141167	0.0191437868944399
0.869114191867146	-2.96657257397148	-0.0129500272876588	-0.00579479563786078	2.98646670847106	0.0172957569830442	0.0159921530226043
0.879114191867146	-2.9354927834675	-0.0127850690860966	-0.00564753732354063	3.22918530860273	0.0158223249219357	0.0135820833003523
0.889114191867146	-2.90199550197261	-0.0126311654114146	-0.00552105741112343	3.46991283267591	0.0150693067809471	0.0118109845247807
0.899114191867146	-2.86610229809573	-0.0124816028312321	-0.00540956940217151	3.70830706819751	0.0149397698972445	0.0105673139661513
0.909114191867146	-2.82783849403125	-0.0123305613679142	-0.00530822667909527	3.94395951720418	0.0153517686940203	0.00977236443771933
0.919114191867146	-2.78723383726294	-0.0121729366433584	-0.0052129168696168	4.17639302860177	0.0162462706344788	0.0093520853888901
0.929114191867146	-2.744323161653	-0.0120041907455151	-0.00512013221440565	4.40506701496082	0.0175711103570998	0.00925418074392346
0.939114191867146	-2.69914702445117	-0.0118202543491472	-0.00502685182277649	4.62937883332409	0.0192807941882776	0.00943916788339534
0.949114191867146	-2.65175231619222	-0.0116174603209465	-0.00493045199333276	4.84866615454245	0.0213362109006689	0.00987337322539436
0.959114191867146	-2.60219283455077	-0.0113925036844536	-0.00482863754027398	5.06221012621742	0.0237054915770312	0.0105212810066198
0.969114191867146	-2.5505298142051	-0.0111424140952461	-0.00471940590146657	5.26924275586525	0.0263547280119451	0.0113571062039443
0.979114191867146	-2.49683239549783	-0.0108645546160688	-0.00460100846747109	5.46895197597533	0.0292513276581789	0.0123549543326475
0.989114191867146	-2.44117802308644	-0.0105566288320209	-0.00447193124877641	5.66048965330684	0.0323621979449302	0.0134890739999991
0.999114191867146	-2.38365276025863	-0.0102166957068785	-0.00433088734464072	5.84298151968856	0.0356503304025308	0.0147377779194966
1.00911419186715	-2.32435150428951	-0.00984319290202893	-0.00417681197293	6.01553754042324	0.0390747526008427	0.016082128499832
1.01911419186715	-2.2633780912401	-0.00943496111058032	-0.00400886617568755	6.17726428481298	0.0425881390658066	0.0175095067478273
1.02911419186715	-2.20084527411318	-0.00899128193165571	-0.00382641998108458	6.32727347752416	0.0461514866517179	0.0189875002296536
1.03911419186715	-2.13687457552229	-0.00851188944871709	-0.00362907952921332	6.46470019649772	0.0497188916351163	0.0204915046467675
1.04911419186715	-2.071595995675	-0.00799699448881032	-0.00341668343586457	6.58871525229074	0.0532444216780386	0.0219936065935629
1.05911419186715	-2.00514757958359	-0.00744729264604185	-0.00318931474588481	6.69854127687091	0.0566771955983519	0.0234728731226152
1.06911419186715	-1.93767483838624	-0.00686397118912806	-0.00294729752816895	6.79346595871338	0.0599657827283759	0.0249094410142312
1.07911419186715	-1.86933003247588	-0.00624870056410053	-0.00269120038561909	6.87285680399852	0.0630554025707028	0.0262916564456386
1.08911419186715	-1.80027131775911	-0.00560363336058822	-0.00242180427002777	6.93616831018234	0.0659076184208835	0.0275833947187901
1.09911419186715	-1.73066178061438	-0.00493136596375248	-0.00214011318985955	6.98295749251438	0.0684863557796217	0.0287512401887249
1.10911419186715	-1.66066836869224	-0.00423489596290709	-0.00184734941626332	7.01289531510801	0.0707515084799146	0.0297780982330934
1.11911419186715	-1.59046073736894	-0.00351757823043641	-0.00154492945155369	7.02577289376687	0.0726627894613209	0.0306584162017255
1.12911419186715	-1.52021003778346	-0.0027830726374545	-0.00123443561807599	7.02150521567245	0.0741834534659274	0.0313933422838262
1.13911419186715	-1.45008766800847	-0.00203529945140116	-0.000917558003777511	7.00012685720637	0.075302168773361	0.0319532651513703
1.14911419186715	-1.38026402961588	-0.00127835211093682	-0.00059610014403854	6.96179879250399	0.076007293373896	0.032324513375175
1.15911419186715	-1.31090729774396	-0.000516435140629583	-0.00027193237515259	6.90680211806814	0.0762965311322919	0.0324927391670937
1.16911419186715	-1.24218224414584	0.000246215404112857	5.30269134289854e-05	6.83553523482618	0.0761657265918278	0.032462910771888
1.17911419186715	-1.17424913094809	0.00100540347084373	0.000376842818952662	6.74850607999887	0.0756064298759055	0.0322632887660049
1.18911419186715	-1.10726269009722	0.00175701112899549	0.000697649309724456	6.64631103590825	0.0746420525179817	0.031880401091233
1.19911419186715	-1.04137123011454	0.00249708165096359	0.00101364511785272	6.52963035588276	0.0733016383466657	0.0313045171836396
1.20911419186715	-0.976715866282721	0.00322188407193581	0.00132310951659109	6.3992177097225	0.0716095171325608	0.0305466224909921
1.21911419186715	-0.913429888214369	0.00392797198582408	0.00162441301495164	6.25588934913809	0.0695735619692901	0.0296576018574732
1.22911419186715	-0.85163825611062	0.00461218753903481	0.00191610784536844	6.10049563052904	0.0672327669676626	0.0286418534004339
1.23911419186715	-0.79145725726447	0.00527171467777852	0.002196911851528	5.93391380933918	0.0646321993429353	0.0274998745371162
1.24911419186715	-0.73299429980423	0.00590411253095507	0.00246570821559901	5.75703712026892	0.0618123267823105	0.0262452520828452
1.25911419186715	-0.676347836962214	0.00650732820933964	0.00272156210680639	5.57076022248329	0.0588135832382871	0.0248946062398623
1.26911419186715	-0.621607422280392	0.00707972303242005	0.0029636943571193	5.37597369838396	0.0556536034949097	0.0235061753680722
1.27911419186715	-0.568853857310496	0.00762002110267314	0.00319157511576161	5.17353412427177	0.0523926117421195	0.0220618681722775
1.28911419186715	-0.518159469620749	0.0081273565473187	0.00340482524108067	4.96427453746476	0.0490651878575686	0.020586928629347
1.29911419186715	-0.469588452284318	0.00860123353849098	0.00360325780046057	4.74898667352128	0.045713946774811	0.0190886742311811
1.30911419186715	-0.423197288145891	0.00904153077258537	0.00378682733915739	4.52842317089141	0.0423599483794637	0.0176078685610358
1.31911419186715	-0.379035215169085	0.00944845198707331	0.0039556641003888	4.30328315095164	0.0390351880632368	0.0161599709216648
1.32911419186715	-0.337144741096089	0.00982250052455914	0.00411005643071167	4.07420950744456	0.0357797805177688	0.014739346041973
1.33911419186715	-0.29756218984082	0.0101644644470528	0.00425040741664076	3.84179251699815	0.0326219648722823	0.013354222702108
1.34911419186715	-0.260318258239942	0.0104753817857635	0.00437722206286184	3.60656811254763	0.0295804975431069	0.012022048504638
1.35911419186715	-0.225438576837556	0.0107565028831754	0.00449109666521291	3.36901664114993	0.0266690158091368	0.0107615202122972
1.36911419186715	-0.192944264182728	0.0110092476982872	0.0045927159234141	3.12956090763357	0.0239060118030626	0.00957479852474145
1.37911419186715	-0.162852471780106	0.0112351775944398	0.00468282438300731	2.88857033798004	0.0213065085111327	0.00846240914913763
1.38911419186715	-0.135176907191975	0.0114359633306387	0.00476220626784284	2.64636416267562	0.0188793443595961	0.00742828874496846
1.39911419186715	-0.109928329830242	0.0116133508901833	0.00483167187778482	2.40321392537308	0.0166286050122715	0.00647755262438867
1.40911419186715	-0.0871150152949507	0.0117691273687419	0.00489204746033362	2.15934588497535	0.0145568811119199	0.00561108896466337
1.41911419186715	-0.0667431856451667	0.0119050909068732	0.00494416201788781	1.91494458721712	0.0126656441035646	0.00482534153127737
1.42911419186715	-0.0488174031070384	0.0120230259631777	0.00498882928414678	1.67015791428878	0.010951407159721	0.0041196169154992
1.43911419186715	-0.0333409229385505	0.0121246765588329	0.00502683827358628	1.42510078064547	0.0094071492967672	0.00349405081279409
1.44911419186715	-0.0203160042001692	0.0122117184486372	0.00505895075777077	1.17985775717172	0.0080278452395164	0.00294028343879966
1.45911419186715	-0.0097441812680107	0.0122857435144684	0.0050858819804725	0.93448947851013	0.00680331026226729	0.00245467202845725
1.46911419186715	-0.00162649053561914	0.0123482396129609	0.00510829433597649	0.68903664159149	0.00571948290672307	0.00203648649175524
1.47911419186715	0.00403634757118924	0.0124005676768331	0.00512680060486501	0.443522265507011	0.00476577297888897	0.00167529447047302
1.48911419186715	0.00724378688922995	0.0124439518829792	0.00514194821716339	0.197958077068176	0.00392831260969198	0.00136338217635917
1.49911419186715	0.00799535900216875	0.0124794664800934	0.0051542135227236	-0.0476509940693755	0.00318971435033201	0.0010965772708004
1.50911419186715	0.00629062156424809	0.0125080206235427	0.00516400345159959	-0.293303682789869	0.00253351831419946	0.000866691288293648
1.51911419186715	0.00212914889448878	0.0125303502118866	0.00517164801994297	-0.538997233355564	0.00194170567689064	0.000666281258804642
1.52911419186715	-0.00448943271860184	0.0125470083580833	0.00517739859205467	-0.784723299643367	0.00139584711932378	0.000486911277665783
1.53911419186715	-0.0135653661221828	0.0125583585111285	0.00518142436322308	-1.030463371594	0.000876630938571125	0.000320294808994217
1.54911419186715	-0.0250986402351901	0.0125645682436034	0.00518381067226369	-1.27618447115139	0.000364320261781671	0.000157768899436972
1.55911419186715	-0.0390888231648995	0.0125656048625835	0.00518455696178244	-1.52183468752212	-0.000161363722521881	-9.19818259701961e-06
1.56911419186715	-0.0555348514197571	0.0125612321425352	0.00518357581799597	-1.76733885379929	-0.000720933635176959	-0.000189240504474232
1.57911419186715	-0.0744347756344214	0.01255100870426	0.00518069236431406	-2.01259423063645	-0.00133492973423965	-0.000391116783946987
1.58911419186715	-0.0957854633407116	0.0125342881614401	0.00517564415177748	-2.2574662433778	-0.00202375135531785	-0.000623624267857419
1.59911419186715	-0.119582259660854	0.0125102212114485	0.00516808170751875	-2.50178432802623	-0.00280746623952584	-0.000895498468844291
1.60911419186715	-0.145818607283859	0.0124777600104766	0.00515756972786425	-2.74533791133824	-0.00370568081752435	-0.00121514081047538
1.61911419186715	-0.174485627579405	0.0124356649521706	0.00514358938969992	-2.98787265920375	-0.00473722503473551	-0.0015906030057204
1.62911419186715	-0.205571665473722	0.0123825142474328	0.00512554182895094	-3.22908704903502	-0.00591972069520471	-0.00202969851955767
1.63911419186715	-0.239061801601768	0.0123167169133121	0.00510275252280902	-3.46862926604008	-0.00726934013131762	-0.00253969543803578
1.64911419186715	-0.274937336055867	0.0122365292456312	0.00507447724069661	-3.70609462853736	-0.00880040557914627	-0.00312721321105412
1.65911419186715	-0.313175249237954	0.0121400751645542	0.00503990962712655	-3.94102363420143	-0.0105249103010535	-0.00379818756390093
1.66911419186715	-0.35374764650849	0.012025370738625	0.0049981905158022	-4.17290073885886	-0.0124520109316735	-0.00455783076094416
1.67911419186715	-0.396621194670335	0.0118903533439425	0.00494841861967502	-4.40115389748637	-0.0145878475385084	-0.00540997573998276
1.68911419186715	-0.441756559442956	0.0117329150925848	0.00488966344126205	-4.62515515642001	-0.0169351703915937	-0.00635675916110564
1.69911419186715	-0.489107854568148	0.0115509405782617	0.00482098018151291	-4.84422237323756	-0.0194929738844401	-0.00739832475605404
1.70612512412546	-0.523598775598369	0.0114076086704682	0.00476639910159189	-4.99447468202979	-0.0214098520874876	-0.00818284712870035
1.71612512412546	-0.58095807347882	0.0157107612739096	0.0477623903605884	-6.80321623015098	2.17240486821569	5.80988276184294
1.72612512412546	-0.660798682487837	0.0613306987925808	0.101898172355248	-8.779371896703	6.04671525267495	5.38852174351767
1.73612512412546	-0.749360307333419	0.121567304941651	0.153898027908243	-8.78675339916982	5.71706356804485	4.86458051826293
1.74612512412546	-0.835416984254552	0.173499097281931	0.198123447638498	-8.4148235820754	4.64948877085778	3.97980930990616
1.75612512412546	-0.917781229670969	0.214804908337124	0.233783413973436	-8.07120575226656	3.63835210774068	3.17451057849839
1.76612512412546	-0.997126153773721	0.246855984418891	0.262091489159997	-7.81153901495314	2.80099420076021	2.51113787093957
1.77612512412546	-1.07426879496758	0.271395308610211	0.284409117761521	-7.62798612276971	2.13176790588849	1.9733157515413
1.78612512412546	-1.14988230352098	0.289960123881052	0.30190866449744	-7.50307665094118	1.60201598826221	1.54312500411429
1.79612512412546	-1.22447532467234	0.303817866024597	0.315558473631623	-7.42144710235596	1.18599070867564	1.201114969625
1.80612512412546	-1.29841639045212	0.313996949411449	0.326149450325266	-7.37094693696277	0.863487387816341	0.927931063239034
