=========================== Parameters =====================================
l1 [m]	l2 [m]	l3 [m]	c1 [m]	c2 [m]	c3 [m]	m1 [kg]	m2 [kg]	m3 [kg]
0.22	0.22	0.2458	0.11	0.11	0.19664	0.1564	0.23764	0.1564
============================== Data ========================================
t [s]	th1 [rad]	th2 [rad]	th3 [rad]	th1d [rad/s]	th2d [rad/s]	th3d [rad/s]
0	0	0	0	0	0	0
0.01	-0.00191142949750645	0.00134115063142608	0.000662873380719026	-0.349381385803007	0.20894280364316	0.132409224624868
0.02	-0.00664455725749661	0.00370618393281171	0.00227605794988914	-0.586528748682063	0.249740670375409	0.177483635191625
0.03	-0.0135049507384128	0.00615421089038897	0.00404588097231358	-0.781459923660596	0.234403470883314	0.171604428978858
0.04	-0.022227058405569	0.00833322330977738	0.00564920305898541	-0.961848831440698	0.199957334505525	0.147632181279323
0.05	-0.0327343356993249	0.0101443143472566	0.00698708512175067	-1.13971673984804	0.162441321774935	0.120020226269746
0.06	-0.0450294746306132	0.0115945093457073	0.0080558421093536	-1.31984085135105	0.128311308382276	0.0944039426843889
0.07	-0.0591438796157273	0.0127293548543929	0.0088871934302107	-1.50366087714147	0.0995108474932357	0.0726391972733001
0.08	-0.0751152112591235	0.0136030390224746	0.00952184909489301	-1.69117857569492	0.0760470848610733	0.0549774759860177
0.09	-0.0929780819080838	0.014266145554661	0.00999870518459858	-1.88186466537904	0.0572797359309523	0.0409601753764619
0.1	-0.112760779129569	0.0147615969090367	0.0103509861389109	-2.0750288085134	0.042387855559633	0.0299408907078362
0.11	-0.134484568338952	0.0151240703679434	0.0106055051973213	-2.26996983352434	0.0305563214104001	0.0213120001041867
0.12	-0.158163978055721	0.0153807153880714	0.0107832375393274	-2.46604954439795	0.0211131052036163	0.0145052267457958
0.13	-0.183807407356549	0.0155523836245242	0.0109001759440062	-2.66268330655007	0.0134818887976197	0.00907954935866839
0.14	-0.211417705270536	0.0156548053843747	0.0109682952385544	-2.85933870198265	0.00719611252436429	0.00468897856401242
0.15	-0.240992630526986	0.0156996265816853	0.0109964150274162	-3.05552897279795	0.00190695078740195	0.00104090227292832
0.16	-0.272525179156202	0.0156953156058294	0.0109908687568455	-3.25078766101471	-0.00266971702280284	-0.00207776000818655
0.17	-0.306003761658584	0.015647861819873	0.010956081735398	-3.44466055303184	-0.00675323094063367	-0.00483153238871331
0.18	-0.341412266054875	0.0155613409458213	0.0108950181071445	-3.63669528534077	-0.0105106286787682	-0.00734777939812557
0.19	-0.378730026648484	0.0154383619053936	0.0108095329492418	-3.82643356490752	-0.0140656036237165	-0.00972697824644297
0.2	-0.417931723666072	0.0152804283187863	0.0107006398893419	-4.0134024424408	-0.0175153424014237	-0.0120394883216545
